,Unnamed: 0,Наименование объекта закупки и его характеристики,"Позиции по КТРУ, ОКПД2",Тип объекта закупки,"Количество товара, объем работы, услуги,Единица измерения","Цена за единицу измерения, ₽","Сумма, ₽"
0,,1  Оказание услуг по подаче горячего водоснабжения с. Биллингс 2 полугодие,Услуги по транспортированию и распределению воды по водопроводам  (36.00.20.130),Услуга,"1,58  м[3*]","2 902,632","4 586,16  Ставка НДС:  20%"
1,,,,,,,
2,,2  Оказание услуг по подаче горячего водоснабжения с. Биллингс 1 полугодие,Услуги по транспортированию и распределению воды по водопроводам  (36.00.20.130),Услуга,"1,235  м[3*]","2 701,548","3 336,41  Ставка НДС:  20%"
3,,,,,,,
4,,3  Оказание услуг по подаче горячего водоснабжения с. Рыткучи 2 полугодие,Услуги по транспортированию и распределению воды по водопроводам  (36.00.20.130),Услуга,"1,7297  м[3*]","1 614,384","2 792,40  Ставка НДС:  20%"
5,,,,,,,
6,,4  Оказание услуг по подаче горячего водоснабжения с. Рыткучи 1 полугодие,Услуги по транспортированию и распределению воды по водопроводам  (36.00.20.130),Услуга,"1,42  м[3*]","1 416,708","2 011,73  Ставка НДС:  20%"
7,,,,,,,
8,,5  Оказание услуг по подаче горячего водоснабжения с. Айон 2 полугодие,Услуги по транспортированию и распределению воды по водопроводам  (36.00.20.130),Услуга,"1,43998  м[3*]","2 010,18","2 894,62  Ставка НДС:  20%"
9,,,,,,,
10,,6  Оказание услуг по подаче горячего водоснабжения с. Айон 1 полугодие,Услуги по транспортированию и распределению воды по водопроводам  (36.00.20.130),Услуга,"1,393  м[3*]","1 824,708","2 541,82  Ставка НДС:  20%"
11,,,,,,,
12,,7  Оказание услуг по подаче тепловой энергии 2 полугодие с. Биллингс,"Энергия тепловая, отпущенная тепловыми электроцентралями (ТЭЦ)  (35.30.11.111)",Услуга,"17,444  ГИГАКАЛ","25 609,776","446 736,93  Ставка НДС:  20%"
13,,,,,,,
14,,8  Оказание услуг по подаче тепловой энергии 1 полугодие с. Биллингс,"Энергия тепловая, отпущенная тепловыми электроцентралями (ТЭЦ)  (35.30.11.111)",Услуга,"28,023  ГИГАКАЛ","24 891,132","697 524,19  Ставка НДС:  20%"
15,,,,,,,
16,,9  Оказание услуг по подаче тепловой энергии 2 полугодие с. Рыткучи,"Энергия тепловая, отпущенная тепловыми электроцентралями (ТЭЦ)  (35.30.11.111)",Услуга,"10,103  ГИГАКАЛ","14 770,804","149 229,43  Ставка НДС:  20%"
17,,,,,,,
18,,10  Оказание услуг по подаче тепловой энергии 1 полугодие с. Рыткучи,"Энергия тепловая, отпущенная тепловыми электроцентралями (ТЭЦ)  (35.30.11.111)",Услуга,"15,054  ГИГАКАЛ","14 841,468","223 423,46  Ставка НДС:  20%"
19,,,,,,,
20,,11  Оказание услуг по подаче тепловой энергии 2 полугодие с. Айон,"Энергия тепловая, отпущенная тепловыми электроцентралями (ТЭЦ)  (35.30.11.111)",Услуга,"11,209  ГИГАКАЛ","20 313,072","227 689,22  Ставка НДС:  20%"
21,,,,,,,
22,,12  Оказание услуг по подаче тепловой энергии 1 полугодие с. Айон,"Энергия тепловая, отпущенная тепловыми электроцентралями (ТЭЦ)  (35.30.11.111)",Услуга,"18,488  ГИГАКАЛ","17 968,308","332 198,08  Ставка НДС:  20%"
23,,,,,,,
24,Итого (12 записей):,Итого (12 записей):,Итого (12 записей):,Итого (12 записей):,Итого (12 записей):,"2 094 964,45","2 094 964,45"
