url,naming,img,specs,price,class
https://market.yandex.ru/product--ekshn-kamera-gopro-hero10-black-23-6mp-5312x2988-1720-ma-ch/1427361414?nid=26995636&show-uid=16536463949060483327916001&context=search&sku=101434176728&cpc=zsMsdDLoH-G9zjIfV4FWPAsSlh10RbstDkj1IFJgWRUP5XORlRLvbDeBYHmWt5r9eQW8mfisiQexSNg6Mf762sD670dO0mnPNfHbKi7-xev0au_HelLiV2tRkQ_8doOBWz5apsyiCTfaafWE_wZ__lAzE4o_NZ1KVro1F1aTg1Y02NWwHrUiIf3WYVtGYwbI&do-waremd5=DNXybdm29b2gDy5JzpjuCQ,"Экшн-камера GoPro HERO10 Black, 23.6МП, 5312x2988, 1720 мА·ч, черный",[],"[{'макс. разрешение': ' 5.3K (5312x2988)'}, {'беспроводная связь': ' Wi-Fi, GPS, Bluetooth'}, {'стабилизатор': ' электронный (цифровой)'}, {'максимальная частота кадров при 4K': ' 120 к/с'}]",45 500,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-gopro-hero9-chdhx-901-rw-23-6mp-5120x2160-1720-ma-ch/695755060?nid=26995636&show-uid=16536463949060483327916002&context=search&sku=101053693789&cpc=s0M7kfRSZsSQXgxUYyBw9ENlbxDceFME7vPKEapH0WdvF55n4r15wkTz0D_14qaVtWsfAAjzBx7SQV1qiTFeSp1eH-N9Ea6WYgyeIz4l4YHo0lbW0xsz_syDUxxPiwaOtr7kroL2l1AHzMkKw06EzifPvWrvcabCVlkplI5bgCJxZXBu9N95QXLQBh8tntt-tH6a26bCgnM%2C&do-waremd5=5RcACilh-0M7M2d-InBY2g&sponsored=1,Экшн-камера GoPro HERO9 (CHDHX-901-RW) black,[],"[{'Производитель': ' GoPro'}, {'Тип': ' экшн-камера'}, {'Качество съемки': ' 5K'}]",35 999,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-gopro-hero7-chdhc-601-3840x2160/183729189?nid=26995636&show-uid=16536463949060483327916003&context=search&sku=100435144095&cpc=MaJK1ojmr-oakpi8zbg4VOatwd_wgYHKcSzWNvwwD6K83bl7Zm3OolmYqbxz0tALQorJRZoAiGP0hJgA9deQWcS28HZCntegyxlZRoiUEnzfnlr2k15QlHd-nmHT25tjci99_5Rto0PHG4giB-8XaiRMWqRy0Fs-48jgtknL9P2i4TTKUQU3PmJes143c2NjGW-PdKoo7gc%2C&do-waremd5=mAoJdNbKosWQ29sWOjmogg&sponsored=1,"Экшн-камера GoPro HERO7 (CHDHC-601), 3840x2160, silver",[],"[{'макс. разрешение': ' UHD 4K (3840x2160)'}, {'беспроводная связь': ' Wi-Fi, GPS, Bluetooth'}, {'стабилизатор': ' электронный (цифровой)'}, {'максимальная частота кадров при 4K': ' 30 к/с'}]",25 000,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-gopro-hero9-chdhx-901-rw-23-6mp-5120x2160-1720-ma-ch/695755060?nid=26995636&show-uid=16536463949060483327916004&context=search&sku=101053693789&cpc=fTCBHh1XUqj3YSS6lMWKEgSGYdzhltsjDGDWPeLR__mbr5ZE4lsDZSzV4kQo496ICyOuh-v_EGQPYZu2jWtntt3idJVZevvGTx8KCZXbYi_6XW4Hxiyx-t53M2OwBHpGBqS0PL7xLs8gUhF-K1Ag_GyBPCeoY8crONkzqDMfgHihji3IDa1AkgAf4o0nojgw&do-waremd5=t26mjUQynjuDBZmLJqoZSw,"Экшн-камера GoPro HERO9 (CHDHX-901-RW), 23.6МП, 5120x2160, 1720 мА·ч, black",[],"[{'макс. разрешение': ' 5K (5120x2160)'}, {'беспроводная связь': ' Wi-Fi, GPS, Bluetooth'}, {'стабилизатор': ' электронный (цифровой)'}, {'максимальная частота кадров при 4K': ' 60 к/с'}]",36 999,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-sportsam-hd-1080p-1920x1080-900-ma-ch/823062833?nid=26995636&show-uid=16536463949060483327916005&context=search&sku=101171901080&cpc=igAeTqainE2ZSpfydV0eXQQZFCdT5g-K42iDDsAVf2X-TnvKvlDNq6sKqR5iaJtZJGd2sb5yd0Z4tStaEDjWhiVN4uNP2yWldmi8FQ7p3gCvLWbFjZfSCQ31g8CzviH-gAR3zUxCSfPUGLHKw9kGdMFb_MJb13ggCHf6hW-Qi5iNhsLlaZCpsw%2C%2C&do-waremd5=KCpd194wMN1dkXjzoNtvFA,"Экшн-камера SportСam HD 1080P, 1920x1080, 900 мА·ч, черный",[],"[{'макс. разрешение': ' Full HD 1080p (1920x1080)'}, {'максимальная частота кадров при Full HD': ' 30 к/с'}, {'функции и технологии': ' режим веб-камеры, фокусировка по лицу, циклическая запись'}, {'опции и комплект': ' детектор движения, стабилизатор изображения, запись на карту…'}]",1 700,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-dji-osmo-pocket-3-axis-gimbal-camera-bundle-with-nd-rotating-polarizer-filter-set-extension-rod-selfie-stick/1747584686?nid=26995636&show-uid=16536463949060483327916006&context=search&sku=101718556071&cpc=kd6lpJfkqOuRrUNZReHOmfRURSTMhIvaNrm548-uMUiBYdZkkmP8u9HYJZvUqRfPie1iVk8BGuHUJjzcRoeSsOIQi9V-3whNBBvP5n-Jkpwe2XMYulFF1Jww-NXKDLCAfkBr7bj9OCn1a9_SlJwNHM581V4lpwCQ5GTX6-t1_cf2AZdJwORuzonIZ4uNnamt&do-waremd5=Aj9RzBqlmYBtYSZv3-pAXg&sponsored=1,"Экшн-камера DJI OSMO Pocket 3 Axis Gimbal Camera Bundle with ND & Rotating Polarizer Filter Set, Extension Rod/Selfie Stick",[],[],30 000,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-gopro-hero8-chdhx-801-rw-12mp-3840x2160-1220-ma-ch/584383003?nid=26995636&show-uid=16536463949060483327916007&context=search&sku=100791234728&cpc=S0CqpzqY9WRoO0SOkBTbuCymj-7XMuWcx2hMjENfH-ddK-fJFjshJivXFyE-o4FTrD0_7d9Y0m-Z-xaJrR9Aq3WtuqzT_kCi102p3iwXzDc5dKLm1lAWzDqmz7uCBXNosdZEsQ3W_5hrKLjGR1MIaRq5GnTGQOeObE89srZl-wXbiva62Amzns8mu09XuVLt&do-waremd5=PxDajmoIsHqi_oAkQ2oSOA&sponsored=1,Камера GoPro HERO8 Black,[],"[{'Производитель': ' GoPro'}, {'Тип': ' экшн-камера'}, {'Качество съемки': ' UHD 4K'}]",32 990,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-amkov-amk100s-8mp-1920x1440/14000831?nid=26995636&show-uid=16536463949060483327916008&context=search&sku=101279290935&cpc=UMZOU3R0bqBZHP0hY--MFTUUZScMAEkfBjnGEUw73T9DeUwaH2YOYpUlIedeck4_Fk1VHa3FR9UHxvZtn37op1WulPc397F2JIVjSL6ntpFjeMHRHKAfHfZsIUCFytQA0E1TCKhwlfhn2J-iRLGguRRaaCATWeqrCj7yakV2wHi13YA6YEEbQQ%2C%2C&do-waremd5=C35JvlmGnyRNFMBTBt79-A,"Экшн-камера Amkov AMK100S, 8МП, 1920x1440, черный",[],"[{'беспроводная связь': ' Wi-Fi'}, {'опции и комплект': ' запись на карту памяти, экран, защитный бокс в комплекте'}, {'вес': ' 84 г'}, {'матрица': ' 8 МП'}]",2 232,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-dji-osmo-pocket-12mp-3840x2160/375931136?nid=26995636&show-uid=16536463949060483327916009&context=search&sku=100575168755&cpc=AYeJJPN6T3jm_GOX5AHniFyQ-sS5uqvu7Jphdtv-zWB9SM77ELlPv6tI9PG2yBcdi2z5ezg9FTFrChLwuhKlYo8mStB6cMDb6yru8oVBK-x9iwR_P6a8np2eumDUqORt2shWPQGOXcG6l-GrrdZygzM13z2W1lqGfDbyZjKiC9337kbNK134nQ%2C%2C&do-waremd5=j8jOPlc0KqNy5oPVon7W2w,"Экшн-камера DJI Osmo Pocket, 12МП, 3840x2160, черный",[],"[{'макс. разрешение': ' UHD 4K (3840x2160)'}, {'стабилизатор': ' оптический'}, {'максимальная частота кадров при 4K': ' 60 к/с'}, {'максимальная частота кадров при Full HD': ' 120 к/с'}]",26 300,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-digma-dicam-420-chernyi/973201696?nid=26995636&show-uid=16536463949060483327916010&context=search&sku=101338995272&cpc=Uolf1WmRzonvcxN8q91VHg8S2p2WdmWfQ8xoawEKglD_cLGkZZup4KslKugQC50a6umqYDyAnMl9L1kLfpo9gNb7EOmXnpfZu5PVtOJHut_WundysaNbK4mUZya-U_3fQ7pdQiMQUyQ6CMfFJlyoeFBqY1QEjT6CsqNZhVo_4GIrHPgGiWzpwg%2C%2C&do-waremd5=hqneJoQKST2UbU5zJVeUZQ,"Экшн-камера Digma DiCam 420, черный",[],"[{'цвет товара': ' черный'}, {'тип': ' экшн-камера'}, {'число кадров в секунду при 1920x1080': ' 60'}, {'число кадров в секунду при разрешении 4K': ' 30'}]",2 990,Экшн-камеры
